PersonPriceID,PersonID,CategoryName,ListedCount,AvgPrice,MaxPrice,MinPrice,SaleCount,GradedCount,GradedSaleCount,GradedAvgPrice,AuctionCount,AuctionSaleCount,AuctionAvgPrice,AuctionMedianPrice,FirstName,LastName,PlayerName,DeceasedYear,ItemAuctionSellPercent
513712,24977,Trading Cards,227,46.8195,393.00,1.25,84,95,31,65.4156,167,74,41.3417,25.25,Pee Wee,Reese,Pee Wee Reese,1999,0.4431137724550898203
514036,25224,Photos,457,24.2456,81.00,0.99,147,97,11,19.4911,353,77,16.5135,10.00,Jim,Rice,Jim Rice,NULL,0.2181303116147308781
514042,25224,Trading Cards,425,14.8029,91.00,1.25,148,83,8,39.4425,289,134,12.8656,9.99,Jim,Rice,Jim Rice,NULL,0.4636678200692041522
514290,25403,Photos,994,98.3332,999.99,2.50,243,236,48,101.4271,749,181,65.6786,55.39,Cal,Ripken,Cal Ripken,NULL,0.2416555407209612817
514299,25403,Trading Cards,691,75.0529,399.99,0.39,237,246,42,87.4435,548,213,72.3395,53.01,Cal,Ripken,Cal Ripken,NULL,0.3886861313868613138
514409,25479,Photos,1354,27.4576,175.00,0.99,285,545,99,34.7445,1141,250,24.3674,19.725,Phil,Rizzuto,Phil Rizzuto,2007,0.2191060473269062226
514418,25479,Trading Cards,480,24.8422,159.99,0.25,167,202,38,33.492,355,143,21.7618,16.38,Phil,Rizzuto,Phil Rizzuto,2007,0.4028169014084507042
514507,25541,Photos,1048,10.8371,49.00,0.99,217,235,42,16.1418,898,201,9.6864,7.01,Robin,Roberts,Robin Roberts,NULL,0.2238307349665924276
514514,25541,Trading Cards,651,13.0802,90.99,0.01,200,228,33,21.95,466,182,11.8471,9.32,Robin,Roberts,Robin Roberts,NULL,0.3905579399141630901
514574,25581,Photos,1191,24.4308,499.00,0.01,335,346,77,40.6859,991,271,18.1784,10.50,Brooks,Robinson,Brooks Robinson,NULL,0.2734611503531786074
514583,25581,Trading Cards,1284,14.081,299.00,0.99,427,355,68,21.9324,1014,414,13.3385,9.99,Brooks,Robinson,Brooks Robinson,NULL,0.4082840236686390532
515439,26248,Photos,1475,77.5228,549.99,0.01,408,229,82,90.0045,1293,311,59.2168,34.01,Nolan,Ryan,Nolan Ryan,NULL,0.2405259087393658159
515448,26248,Trading Cards,923,59.4749,763.01,0.01,367,260,51,118.3976,722,343,59.5604,36.56,Nolan,Ryan,Nolan Ryan,NULL,0.4750692520775623268
515720,26456,Photos,403,36.9629,175.00,0.74,87,126,28,37.342,291,74,30.9747,27.25,Ryne,Sandberg,Ryne Sandberg,NULL,0.2542955326460481099
515729,26456,Trading Cards,430,30.5366,495.00,0.99,179,93,10,43.137,316,166,26.134,18.99,Ryne,Sandberg,Ryne Sandberg,NULL,0.5253164556962025316
516220,26786,Photos,728,27.6779,177.50,0.99,124,213,28,34.7481,600,117,24.7703,19.99,Mike,Schmidt,Mike Schmidt,NULL,0.1950000000000000000
516229,26786,Trading Cards,875,24.8438,330.00,0.99,326,272,31,59.3293,720,306,23.6315,14.995,Mike,Schmidt,Mike Schmidt,NULL,0.4250000000000000000
516530,27086,Photos,847,66.346,549.99,1.51,202,374,55,75.3566,690,135,29.1382,21.49,Tom,Seaver,Tom Seaver,NULL,0.1956521739130434782
516538,27086,Trading Cards,594,26.2538,204.75,0.01,247,207,31,43.7355,434,231,24.7025,17.50,Tom,Seaver,Tom Seaver,NULL,0.5322580645161290322
517460,27865,Photos,1063,13.3826,135.00,0.99,275,368,61,16.4889,868,239,10.7302,8.99,Enos,Slaughter,Enos Slaughter,2002,0.2753456221198156682
517468,27865,Trading Cards,679,13.7377,174.99,0.01,212,229,25,26.6275,506,184,12.085,8.00,Enos,Slaughter,Enos Slaughter,2002,0.3636363636363636363
517839,28143,Photos,820,36.0358,150.00,0.99,148,229,51,40.3572,682,117,25.9368,19.99,Ozzie,Smith,Ozzie Smith,NULL,0.1715542521994134897
517847,28143,Trading Cards,585,22.4202,200.00,0.99,270,175,36,45.3783,434,245,20.1406,13.29,Ozzie,Smith,Ozzie Smith,NULL,0.5645161290322580645
518012,28265,Photos,1498,22.6465,179.99,0.99,266,431,48,35.1715,1239,210,17.6336,12.77,Duke,Snider,Duke Snider,NULL,0.1694915254237288135
